Compound,AirTemp,TrackTemp,Driver,race,LapTimeSeconds
MEDIUM,22.5,31.4,BOT,2023 Austria,71.504
MEDIUM,22.5,31.4,LEC,2023 Austria,70.724
HARD,22.5,31.4,PIA,2023 Austria,71.067
MEDIUM,22.5,31.4,SAI,2023 Austria,70.536
MEDIUM,22.5,31.3,DEV,2023 Austria,87.267
HARD,22.5,31.3,MAG,2023 Austria,71.246
HARD,22.5,31.3,NOR,2023 Austria,71.175
HARD,22.5,31.3,HAM,2023 Austria,70.959
MEDIUM,22.5,31.3,ALO,2023 Austria,70.599
MEDIUM,22.5,31.3,PER,2023 Austria,69.547
HARD,22.5,31.3,GAS,2023 Austria,71.132
HARD,22.5,31.3,RUS,2023 Austria,70.982
HARD,22.5,31.3,ALB,2023 Austria,71.189
HARD,22.5,31.3,OCO,2023 Austria,71.904
HARD,22.5,31.3,SAR,2023 Austria,71.244
HARD,22.5,31.3,STR,2023 Austria,69.608
HARD,22.5,31.3,VER,2023 Austria,69.431
HARD,22.5,31.3,TSU,2023 Austria,71.256
MEDIUM,22.5,31.4,BOT,2023 Austria,71.345
MEDIUM,22.5,31.4,LEC,2023 Austria,70.896
HARD,22.5,31.4,PIA,2023 Austria,71.241
MEDIUM,22.5,31.4,SAI,2023 Austria,70.363
HARD,22.5,31.4,ZHO,2023 Austria,88.218
MEDIUM,22.5,31.4,DEV,2023 Austria,69.974
HARD,22.5,31.4,MAG,2023 Austria,70.24
HARD,22.5,31.4,NOR,2023 Austria,71.559
HARD,22.5,31.4,HAM,2023 Austria,71.384
MEDIUM,22.5,31.4,ALO,2023 Austria,70.636
MEDIUM,22.5,31.4,PER,2023 Austria,69.337
HARD,22.5,31.4,GAS,2023 Austria,71.112
HARD,22.5,31.4,RUS,2023 Austria,71.034
HARD,22.5,31.4,ALB,2023 Austria,71.191
HARD,22.5,31.4,OCO,2023 Austria,75.171
HARD,22.5,31.4,SAR,2023 Austria,71.343
HARD,22.5,31.3,STR,2023 Austria,69.666
HARD,22.5,31.3,VER,2023 Austria,69.527
HARD,22.5,31.3,TSU,2023 Austria,71.185
MEDIUM,22.5,31.3,LEC,2023 Austria,70.828
MEDIUM,22.5,31.3,BOT,2023 Austria,74.528
HARD,22.5,31.3,PIA,2023 Austria,71.015
MEDIUM,22.5,31.3,SAI,2023 Austria,70.577
HARD,22.5,31.3,ZHO,2023 Austria,69.872
MEDIUM,22.5,31.3,DEV,2023 Austria,70.061
HARD,22.5,31.3,MAG,2023 Austria,70.326
HARD,22.5,31.3,HAM,2023 Austria,70.868
MEDIUM,22.5,31.3,ALO,2023 Austria,70.667
MEDIUM,22.5,31.3,PER,2023 Austria,69.805
HARD,22.5,31.3,NOR,2023 Austria,74.505
HARD,22.5,31.3,GAS,2023 Austria,71.044
HARD,22.5,31.3,RUS,2023 Austria,74.567
